"Department","Category","Subcategory","Item"
"Store Dept.","Card and Certificate","Merits","CERTIFICATE OF APPRECIATION"
"Store Dept.","Madhusthali","Madhusthali items","CERTIFICATE OF EXECLLENCE"
"Store Dept.","Card and Certificate","Merits","CERTIFICATE OF MERIT"
"","Card and Certificate",,"CERTIFICATE OF SCOUT GROUP"
"Maintenance Dept.","Electrical","Bulbs","CFL 14 W"
"Maintenance Dept.","Electrical","Bulbs","CFL 18 wt"
"Maintenance Dept.","Electrical","Bulbs","CFL 20 W"
"Maintenance Dept.","Electrical","Bulbs","CFL 5 wt"
"Store Dept.","Decoration","General","CHAND MALA"
"Store Dept.","Printing & Stationary","Files & Folders","CHANNEL FILE"
"Store Dept.","Printing & Stationary","Paper","CHART PAPER (DIFFERENT)"
"Store Dept.","Printing & Stationary","Paper","CHART PAPER (WHITE)"
"Store Dept.","Madhusthali","Madhusthali items","CHART PAPER (WHITE)"
"Store Dept.","Flag and Banner","General","CHILDRENS DAY"
"Store Dept.","Decoration","General","CHINA  BALLOONS"
"","Gift",,"CHINA BOWL"
"Store Dept.","Printing & Stationary","Office Stationeries","CHINA CLIP (BIG)"
"Store Dept.","Printing & Stationary","Office Stationeries","CHINA CLIP (MEDIUM)"
"Store Dept.","Printing & Stationary","Office Stationeries","CHINA CLIP (SMALL)"
"Store Dept.","Accessories","General","CHINA FAN (WOODEN)"
"","Gift",,"CHINA GLASS (SMALL)"
"Store Dept.","Printing & Stationary","Pens","CHISEL MARKER"
"Store Dept.","Food & Beverage","Staff welfare","CHOCKLET"
"Store Dept.","Food & Beverage","Staff welfare","CHOCOLATE"
"Store Dept.","Food & Beverage","Staff welfare","CHOCOPIE"
"Maintenance Dept.","Electrical","Tubelight","CHOKE (40 W)"
"Maintenance Dept.","Electrical","Tubelight","CHOKE 20W"
"Maintenance Dept.","Electrical","Tubelight","CHOKE 40 WT DOUBLE"
"","Decoration",,"CHUMKI (GOLDEN)"
"","Decoration",,"CHUMKI (SILVER)"
"Maintenance Dept.","Plumbing","Cistern","CISTERN CYPHOON"
"Maintenance Dept.","Plumbing","Cistern","CISTERN Full Set"
"Maintenance Dept.","Plumbing","Cistern","CISTERN HANDLE"
"Maintenance Dept.","Electrical","Clamps","CLAMP SET"
"Store Dept.","Stationary","Saleable","CLASS - I -MERUN BAG"
"Store Dept.","Stationary","Saleable","CLASS - II -SKY BLUE"
"Store Dept.","Accessories","General","CLASS TALKY CHARGER"
"Store Dept.","Audio & Video System","Talky","CLASSROOM TALKY"
"","Office Stationery",,"CLAY MODELING COLOUR SET"
"Store Dept.","Decoration","General","CLOTH FOR ART & CRAFT"
"","Gift",,"COCK HOUSE"
"Store Dept.","Gift","General","COCK HOUSE TROPHY"
"Store Dept.","Food & Beverage","Staff welfare","COFFEE (BRU)"
"","Gift",,"COFFEE MUG"
"","Gift",,"COFFEE THARMAS"
"Store Dept.","Food & Beverage","Staff welfare","COLD DRINKS"
"Store Dept.","Food & Beverage","Staff welfare","COLD DRINKS (TANG)"
